device,node_id,time_utc_usec,active_intensity,q_factor,histogram_count,azimuth,elevation,yaw,pitch,roll,north,east,down
dev2,43,1780350145107382,19.63190269470215,1.7366445064544678,20,201.1248779296875,-49.479736328125,326.7388610839844,1.2884575128555298,5.266040325164795,0.03473597392439842,-0.035594671964645386,0.001963321352377534
dev2,43,1780350145275382,28.437273025512695,4.7872700691223145,21,194.91310119628906,8.617622375488281,326.7155456542969,1.2889325618743896,5.266700744628906,0.03467236086726189,-0.035593610256910324,0.002183962380513549
dev2,43,1780350145444382,30.89642333984375,6.970932483673096,31,19.673583984375,-34.788848876953125,326.69158935546875,1.2835184335708618,5.265758037567139,0.034703150391578674,-0.0355297327041626,0.002360503189265728
dev2,43,1780350145611382,19.366336822509766,1.4449903964996338,50,221.03207397460938,-52.80510330200195,326.6722412109375,1.2833070755004883,5.265371322631836,0.034805722534656525,-0.03543063998222351,0.0025080316700041294
dev2,43,1780350145782382,23.87422752380371,3.2553253173828125,46,46.846710205078125,-21.773611068725586,326.64617919921875,1.2870603799819946,5.2655348777771,0.03492091968655586,-0.03537866845726967,0.0026517948135733604
dev2,43,1780350145950382,19.128801345825195,1.5689277648925781,53,222.18601989746094,-69.09895324707031,326.6177978515625,1.2865134477615356,5.264684677124023,0.035011935979127884,-0.035315949469804764,0.002753489650785923
dev2,43,1780350146118382,19.368206024169922,1.6781797409057617,30,198.98043823242188,-68.75990295410156,326.5925598144531,1.2881507873535156,5.26464319229126,0.03504277020692825,-0.03525293245911598,0.002743741264566779
dev2,43,1780350146286382,19.447423934936523,1.7109203338623047,29,200.54025268554688,-68.24826049804688,326.5747985839844,1.2872952222824097,5.265733242034912,0.03504856675863266,-0.03525416553020477,0.002577131846919656
dev2,43,1780350146454382,20.714561462402344,2.1190268993377686,52,218.068115234375,-53.45258712768555,326.56182861328125,1.2903534173965454,5.264869213104248,0.035008493810892105,-0.03532129153609276,0.00253791781142354
dev2,43,1780350146622382,19.03628921508789,1.5561107397079468,26,198.7588653564453,-66.51277923583984,326.546142578125,1.2892451286315918,5.263300895690918,0.03488827496767044,-0.035429082810878754,0.002553882310166955
dev2,43,1780350146790382,20.113033294677734,1.9526145458221436,35,200.29844665527344,-70.43360900878906,326.5335693359375,1.286214828491211,5.264185428619385,0.034721314907073975,-0.0355011522769928,0.0025439264718443155
dev2,43,1780350146958382,19.784496307373047,1.690435528755188,25,201.28433227539062,-53.768531799316406,326.524658203125,1.2868287563323975,5.263124465942383,0.03453126549720764,-0.03548564016819,0.0024705445393919945
dev2,43,1780350147129382,20.26646614074707,1.9887064695358276,64,223.77427673339844,-52.29496765136719,326.513427734375,1.2893288135528564,5.26149845123291,0.03438200429081917,-0.03542924299836159,0.0023460837546736
dev2,43,1780350147297382,20.63730239868164,2.062343120574951,48,223.23074340820312,-55.479766845703125,326.5039367675781,1.2899664640426636,5.261087894439697,0.03431440144777298,-0.035391516983509064,0.0022114384919404984
dev2,43,1780350147465382,20.37671661376953,1.812800645828247,44,220.3817901611328,-68.79566955566406,326.5009460449219,1.2899694442749023,5.261572360992432,0.034277647733688354,-0.03534352034330368,0.002164969453588128
dev2,43,1780350147633382,20.14960289001465,1.6483007669448853,31,196.66468811035156,-54.232208251953125,326.4909362792969,1.289908766746521,5.2581305503845215,0.034256357699632645,-0.03531116619706154,0.002168375998735428
dev2,43,1780350147801382,21.253646850585938,2.0812089443206787,25,195.56472778320312,-54.17057800292969,326.4752502441406,1.2880319356918335,5.254720687866211,0.03421545773744583,-0.03529169037938118,0.0021716079208999872
dev2,43,1780350147969382,21.557003021240234,2.5176305770874023,64,218.7650146484375,-51.70097732543945,326.46246337890625,1.2874685525894165,5.256050109863281,0.034158430993556976,-0.0353330560028553,0.0021957627031952143
dev2,43,1780350148137382,20.094532012939453,1.8439136743545532,50,223.1016845703125,-54.1607780456543,326.4479675292969,1.287811279296875,5.25559663772583,0.03414308652281761,-0.03540150448679924,0.0020714891143143177
dev2,43,1780350148308382,19.84595489501953,1.7459397315979004,60,222.5721893310547,-52.73078918457031,326.4328918457031,1.290560007095337,5.254938125610352,0.034097496420145035,-0.035441525280475616,0.00193099956959486
dev2,43,1780350148476382,21.22798728942871,2.2584588527679443,25,196.656494140625,-54.45183181762695,326.4200134277344,1.2892366647720337,5.255807876586914,0.03404640406370163,-0.0354522205889225,0.0018408528994768858
