device,node_id,time_utc_usec,active_intensity,q_factor,histogram_count,azimuth,elevation,yaw,pitch,roll,north,east,down
dev2,43,1780360210716946,27.64528465270996,5.9514241218566895,52,78.4073486328125,-20.58955192565918,18.24847412109375,14.481188774108887,6.910485744476318,1.348532795906067,0.8106598854064941,0.004093833267688751
dev2,43,1780360210887946,31.440410614013672,9.979402542114258,103,81.87664794921875,-21.764442443847656,18.246337890625,14.480426788330078,6.907671928405762,1.3484658002853394,0.8107475638389587,0.004027523100376129
dev2,43,1780360211055946,20.3031063079834,2.1643569469451904,46,196.21556091308594,22.241920471191406,18.24462890625,14.47996997833252,6.904999256134033,1.348381757736206,0.8109340071678162,0.004011348355561495
dev2,43,1780360211223946,19.84469985961914,1.7013354301452637,43,192.8213653564453,22.41484260559082,18.240142822265625,14.477507591247559,6.903136253356934,1.3483493328094482,0.8111687302589417,0.0040977718308568
dev2,43,1780360211391946,20.109485626220703,1.9869660139083862,36,200.22494506835938,22.133968353271484,18.238006591796875,14.472620010375977,6.903232574462891,1.3483607769012451,0.8113422989845276,0.004211936146020889
dev2,43,1780360211560946,19.991809844970703,1.979382038116455,31,194.9674530029297,20.8429012298584,18.235809326171875,14.474356651306152,6.9006171226501465,1.3484265804290771,0.8113696575164795,0.004259438253939152
dev2,43,1780360211730946,20.422868728637695,2.1289873123168945,42,196.15103149414062,37.83449172973633,18.2320556640625,14.47219467163086,6.90045690536499,1.348404884338379,0.8113194704055786,0.004274103790521622
dev2,43,1780360211898946,20.9257869720459,2.3558597564697266,45,196.4207305908203,37.03782653808594,18.2305908203125,14.473028182983398,6.899956703186035,1.3483811616897583,0.8113057613372803,0.004372976720333099
dev2,43,1780360212066946,19.505197525024414,1.8199450969696045,36,191.33030700683594,21.657855987548828,18.232574462890625,14.471351623535156,6.898705959320068,1.348394513130188,0.8113448023796082,0.004446299746632576
dev2,43,1780360212234946,20.864408493041992,2.4846510887145996,37,194.66253662109375,36.195438385009766,18.234405517578125,14.471827507019043,6.894965648651123,1.3484405279159546,0.8114532828330994,0.004390144720673561
dev2,43,1780360212402946,20.64912986755371,2.3960397243499756,49,196.37738037109375,20.93739891052246,18.22943115234375,14.471098899841309,6.893258094787598,1.3485914468765259,0.8114357590675354,0.00416523776948452
dev2,43,1780360212570946,19.499122619628906,1.7304716110229492,42,224.8860626220703,20.453737258911133,18.2279052734375,14.471088409423828,6.89177942276001,1.348760962486267,0.8114245533943176,0.004035924095660448
dev2,43,1780360212738946,21.285160064697266,2.7591590881347656,39,200.12237548828125,17.576784133911133,18.233062744140625,14.469945907592773,6.890181541442871,1.3488786220550537,0.8114590048789978,0.003977050073444843
dev2,43,1780360212906946,20.1571044921875,2.1544229984283447,55,194.26998901367188,6.055560111999512,18.2362060546875,14.4700345993042,6.887070655822754,1.3489056825637817,0.8115212917327881,0.0039258478209376335
dev2,43,1780360213074946,20.585575103759766,2.2273738384246826,41,194.9972381591797,21.68428611755371,18.2366943359375,14.47098445892334,6.886805534362793,1.3488507270812988,0.8116168975830078,0.0038872400764375925
dev2,43,1780360213245946,21.39632797241211,2.716287136077881,44,194.1412353515625,9.086301803588867,18.23333740234375,14.469722747802734,6.885513782501221,1.3487906455993652,0.8116934299468994,0.0037583571393042803
dev2,43,1780360213413946,20.06496238708496,2.0143630504608154,42,197.0325927734375,22.75002098083496,18.22967529296875,14.46977710723877,6.883363723754883,1.3487627506256104,0.811632513999939,0.003596522146835923
dev2,43,1780360213581946,38.21818161010742,7.188985824584961,53,75.668701171875,38.19070053100586,18.224090576171875,14.470139503479004,6.880340099334717,1.3487225770950317,0.8115772604942322,0.0034839201252907515
dev2,43,1780360213749946,41.50505065917969,6.149851322174072,49,74.681640625,53.164669036865234,18.2203369140625,14.46958065032959,6.878560543060303,1.3487157821655273,0.8115173578262329,0.0034481645561754704
dev2,43,1780360213917946,34.74626159667969,4.327194690704346,28,80.72756958007812,68.34207153320312,18.2142333984375,14.47153377532959,6.876783847808838,1.3487433195114136,0.8114932775497437,0.0034924508072435856
dev2,43,1780360214085946,25.4523868560791,4.4427571296691895,40,79.77227783203125,4.928409099578857,18.21173095703125,14.472210884094238,6.875030040740967,1.3487600088119507,0.8115296363830566,0.003568090498447418
dev2,43,1780360214253946,42.62535858154297,4.0836334228515625,93,79.80355834960938,7.247257709503174,18.216064453125,14.472785949707031,6.8715620040893555,1.3488438129425049,0.8114258646965027,0.003590870648622513
dev2,43,1780360214424946,37.19939422607422,2.811126708984375,44,99.75778198242188,10.870950698852539,18.22021484375,14.469925880432129,6.869171619415283,1.3489187955856323,0.8114138841629028,0.003602136392146349
dev2,43,1780360214592946,27.446691513061523,3.901322841644287,42,81.5281982421875,41.255985260009766,18.2239990234375,14.46908187866211,6.8706207275390625,1.3489961624145508,0.811427116394043,0.0036256564781069756
dev2,43,1780360214760946,20.96114730834961,1.9711573123931885,21,99.0682373046875,47.318603515625,18.232421875,14.471880912780762,6.869893550872803,1.3490327596664429,0.8114628195762634,0.003622571937739849
dev2,43,1780360214930946,20.309261322021484,2.224104166030884,34,193.28671264648438,22.289541244506836,18.233123779296875,14.473289489746094,6.8664774894714355,1.3490140438079834,0.811517059803009,0.003576156683266163
dev2,43,1780360215096946,21.268543243408203,2.767674446105957,45,197.4998016357422,36.006134033203125,18.23187255859375,14.473146438598633,6.864927768707275,1.349002718925476,0.8114796280860901,0.0035107661969959736
dev2,43,1780360215267946,21.548934936523438,2.876324415206909,40,194.38226318359375,23.851947784423828,18.2296142578125,14.47237777709961,6.863059997558594,1.3490595817565918,0.8113399744033813,0.0034809319768100977
dev2,43,1780360215435946,20.454952239990234,2.389944314956665,34,198.1678009033203,6.220639228820801,18.2266845703125,14.473734855651855,6.86271333694458,1.3491190671920776,0.8112435340881348,0.0034743358846753836
dev2,43,1780360215603946,21.680286407470703,2.7014052867889404,44,192.46868896484375,37.44660568237305,18.226043701171875,14.471237182617188,6.861687183380127,1.3491451740264893,0.8111875653266907,0.0035177625250071287
