node_id,time_utc_usec,active_intensity,q_factor,histogram_count,azimuth,elevation,yaw,pitch,roll,north,east,down
40,1775251993418201,26.28779411315918,1.9747028350830078,23,234.68408203125,143.59048461914062,255.29019165039062,-0.3659347593784332,-3.259888172149658,17.825756072998047,1.7616554498672485,-0.5519370436668396
40,1775251993799201,24.12998390197754,1.4380067586898804,16,177.74627685546875,173.42364501953125,255.29579162597656,-0.36088329553604126,-3.2641611099243164,17.825897216796875,1.7622143030166626,-0.5522544980049133
40,1775251993925201,25.749248504638672,2.043750762939453,37,321.33319091796875,133.8562469482422,255.29510498046875,-0.3622342050075531,-3.2658586502075195,17.825851440429688,1.7623323202133179,-0.5522775053977966
40,1775251994048201,26.368816375732422,2.01043963432312,24,59.293609619140625,101.54283142089844,255.29393005371094,-0.36321672797203064,-3.267646312713623,17.825786590576172,1.762451410293579,-0.5525782704353333
40,1775251994051201,25.087360382080078,1.4967372417449951,9,250.857421875,179.724853515625,255.29391479492188,-0.3631710410118103,-3.2675528526306152,17.825786590576172,1.762451410293579,-0.5525782704353333
40,1775251994177201,25.002622604370117,1.4140256643295288,23,311.0736083984375,97.57039642333984,255.29531860351562,-0.3644295334815979,-3.266657590866089,17.825693130493164,1.7625598907470703,-0.5533859729766846
40,1775251994303201,25.437164306640625,1.7946960926055908,16,270.80548095703125,95.73597717285156,255.29571533203125,-0.3638123571872711,-3.270146608352661,17.825550079345703,1.7626172304153442,-0.553871750831604
40,1775251994432201,25.765554428100586,1.481938362121582,20,209.74884033203125,136.45472717285156,255.2968292236328,-0.3652867376804352,-3.2697715759277344,17.825401306152344,1.7626458406448364,-0.5549857020378113
40,1775251994555201,24.673831939697266,0.8032556772232056,26,240.7353515625,114.98699951171875,255.29983520507812,-0.36565619707107544,-3.2714450359344482,17.82525062561035,1.7626615762710571,-0.5559167265892029
40,1775251994681201,26.446847915649414,1.750754952430725,12,126.87261962890625,193.54627990722656,255.30308532714844,-0.36444979906082153,-3.269941806793213,17.825115203857422,1.7626787424087524,-0.5564139485359192
40,1775251994807201,27.856964111328125,2.2191336154937744,6,162.5963134765625,68.06048583984375,255.3046112060547,-0.36483314633369446,-3.2697038650512695,17.824993133544922,1.7627016305923462,-0.5572383999824524
40,1775251994810201,25.314817428588867,1.235858678817749,30,217.19317626953125,145.9923858642578,255.3046112060547,-0.36483314633369446,-3.2697038650512695,17.824993133544922,1.7627016305923462,-0.5572383999824524
40,1775251994936201,25.52522850036621,1.6603299379348755,16,91.67779541015625,65.02078247070312,255.3076171875,-0.3635093569755554,-3.269127130508423,17.824871063232422,1.7626996040344238,-0.5568057298660278
40,1775251995062201,23.697154998779297,0.48004448413848877,7,33.550994873046875,188.446044921875,255.30825805664062,-0.36457252502441406,-3.267886161804199,17.824783325195312,1.7626789808273315,-0.5568916201591492
40,1775251995185201,26.910160064697266,2.1423070430755615,33,186.50201416015625,143.6189422607422,255.31173706054688,-0.36472493410110474,-3.270214319229126,17.824695587158203,1.7627023458480835,-0.5575050711631775
40,1775251995191201,26.081676483154297,1.7702451944351196,29,297.13623046875,125.40036010742188,255.31173706054688,-0.3648962080478668,-3.2700910568237305,17.824689865112305,1.7627063989639282,-0.5576319694519043
40,1775251995314201,24.80417251586914,1.442739486694336,24,323.04583740234375,124.72613525390625,255.3120574951172,-0.3674790561199188,-3.2703065872192383,17.824718475341797,1.762695074081421,-0.5574741959571838
40,1775251995440201,25.41516876220703,1.8264940977096558,19,306.57354736328125,93.88212585449219,255.3143768310547,-0.3670260012149811,-3.2706339359283447,17.8248291015625,1.762725591659546,-0.5578951239585876
40,1775251995566201,25.61312484741211,1.685842514038086,31,305.62615966796875,109.38661193847656,255.31658935546875,-0.36547189950942993,-3.273024559020996,17.82488250732422,1.7627509832382202,-0.5579596757888794
40,1775251995695201,26.13857650756836,1.8848705291748047,11,305.3792724609375,199.76968383789062,255.3212890625,-0.3647177815437317,-3.271390199661255,17.82497787475586,1.7627209424972534,-0.5580220222473145
